id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn,url
527054,Rat,,,,,New York,"R.A.T. Publications, Inc.",,19uu,19uu,,serial,Biweekly,English,text,print,v. ill. 41 cm.,periodical,,,,,,,Women's libeRATion (OCoLC)1763455,,,,
9263940,Rat,"Rat (New York, N.Y.)",,,,New York :,"R.A.T. Publications,",1970-1971.,1970,1971,,serial,Biweekly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (24 volumes) : illustrations.,newspaper|||text,,Feminism,,"United States, New York, New York, New York",,,,,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/4RBZ/AHSI?sid=gale_marc&u=upitt_main
9247677,RAT,,Women's libeRATion|||RAT,,,"New York, New York :",R.A.T. Publications,,1969,uuuu,,serial,Monthly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newspapers|||newspaper|||text,,Women's rights,,New York (N.Y.)|||New York County (N.Y.)|||New York|||United States,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6PLV&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
537570,"Second wave, The",,,,,"Cambridge, Mass","Second Wave, Inc.|||Distributed by Carrier Pigeon",,1971,1981,,serial,Quarterly,English,text,print,6 v. : ill. ; 28 cm.,periodical,,Women|||Periodicals|||Feminism,,,,,,0048-9980,76025749 //r86|||sn 85011626,,
542972,"Second wave, The",,,,,"Cambridge, Mass. [etc.]","Second Wave, Inc.",,1971,9999,,serial,Unknown,English,text,microfilm,v. ill. 28 cm.,bibliography|||periodical,,Feminism|||Periodicals|||Women,,,,,,0048-9980,,,
8927047,"Second wave, The",,,,,"[Cambridge, Mass.] :",[Second Wave]:,[1971-1983.],1971,1983,,serial,Quarterly,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||periodical|||text,,Women|||Second-wave feminism,,,,,,2470-301X|||0048-9980,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=CCGHFHJ
530886,Sister: West Coast feminist newspaper,,,,,"Venice, Calif",Women's Center.,,1973,9999,,serial,Monthly,English,text,print,v. ill. 38 cm x 29cm. fold. to 29 cm. x 19cm.,periodical,,Women|||Periodicals|||History,,,,Women's center newsletter Los Angeles Women's Center.,,,,,
9248276,Sister,"Sister (Los Angeles, Calif.)",Sister,,,"Venice, California :|||North Hollywood, California :|||Manhattan Beach, California :|||Santa Monica, California :",Westside Women's Center|||[publisher not identified]|||[publisher not identified]|||[publisher not identified]|||[publisher not identified],,1973,19uu,,serial,"Bimonthly, Dec. 1976/Jan. 1977-|||Monthly, 1973-July/Aug. 1976|||Bimonthly",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,"Feminism|||Women's rights|||Women|||Social conditions|||Political activity|||Health and hygiene|||Feminists|||Westside Women's Center (Los Angeles, Calif.)",,"Los Angeles|||California, Southern|||California",,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6PMK&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
1916072,Sojourner,"Sojourner (Cambridge, Mass.)",,,,"Cambridge, MA]",The Institute,c1975-,1975,9999,,serial,Monthly,English,text,print,v. : ill. ; 44 cm.,Periodicals|||periodical,,Feminism|||Women,,New England|||United States,,,,0191-8699,86642678|||sc 83008383,,
9248038,Sojourner,"Sojourner (Cambridge, Mass.)",,,Massachusetts Institute of Technology (issuing body)|||Sojourner Feminist Institute (publisher),"[Cambridge, Massachusetts] :|||Cambridge, Massachusetts :|||Jamaica Plain, Massachusetts :","Massachusetts Institute of Technology,|||Sojourner, Incorporated|||Sojourner Feminist Institute|||Sojourner Feminist Institute",1975-,1975,2002,,serial,Monthly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism|||Women,,New England|||United States,,,,0191-8699,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6PMP&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
8936707,Sojourner,"Sojourner (Cambridge, Mass.)",,,Sojourner Feminist Institute (publisher),"Cambridge, MA]|||Cambridge, MA|||Jamaica Plain, MA","Massachusetts Institute of Technology|||Sojourner, Inc.|||Sojourner Feminist Institute|||Sojourner Feminist Institute",c1975-,1975,2002,,serial,Monthly,English,text,electronic|||electronic resource|||remote|||unmediated|||volume,,Periodicals|||periodical|||text,,Feminism|||Women,,New England|||United States,,,,0191-8699,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=EGFGCHH
430415,Spare rib,"Spare rib (London, England)",,,,London,Spare Ribs Ltd.,,1972,9999,,serial,Monthly,English,text,print,v. ill. 30 cm.,periodical,,,,,,,,0306-7971,sn 82020308,,
8181200,Spare rib,"Spare rib (London, England)",,,,London,Spare Ribs Ltd.,1972-,1972,19uu,,serial,Monthly,English,text,electronic|||electronic resource|||remote|||unmediated|||volume,,Periodicals|||Periodicals-England-1972-1993|||periodical|||text,,Feminism|||Women|||Social conditions|||Periodicals,,Great Britain,,,Spare rib magazine (OCoLC)25691520,0306-7971,,,https://journalarchives.jisc.ac.uk/britishlibrary/sparerib
1478908,Successful women,,,,,"Pittsburgh, Pa",Holsing Communications,1994-,1994,9999,,serial,Monthly,English,text,print,v. : ill. ; 35 cm.,periodical,,Women|||Periodicals,,Pittsburgh Region|||Pennsylvania,,,,,sn 94042469,,
527891,Up from under,,"Up from under by,for, and about women",,,New York,Up from Under],,1970,9999,,serial,Quarterly,English,text,print,v. ill. 28 cm.,,,Women|||Periodicals,,,,,,0042-0670,sn 86020063|||78023557,,
8830454,Up from under,"Up from under (New York, N.Y.)",,,,"New York,","Up from Under,",1970-,1970,uuuu,,serial,Quarterly (irregular)|||Quarterly,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Periodicals|||periodical|||text,,Women,,,,,,2469-5106|||0042-0670,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BHGIICH
518108,Viva,Viva (New York),,,,New York,Viva International|||distributed by Curtis Circulation Co.,,1973,9999,,serial,Monthly,English,text,print,v. illus. 28 cm.,periodical,,,,,,,,0149-4473,77643402,,
531389,Woman becoming,,,,,Pittsburgh,[s.n.],,1972,9999,,serial,Irregular|||Completely irregular,English,text,print,v. ill. 22 cm.,periodical,,American literature|||Periodicals|||Women authors,20th century,,,,,,sn 85010977,,
541280,Womanspirit,,Woman spirit,,,"Wolf Creek, Or",Womanspirit,,1974,1984,,serial,Quarterly,English,text,print,10 v. : ill. ; 28 cm.,periodical,,Women|||Periodicals,,,,,,0736-6930,83640402,,
8830665,Womanspirit,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=DBBDEEG
9368210,Women: a journal of liberation,,,,,[Baltimore],[publisher not identified] ;,,1969,1983,,serial,4 no. a year (irregular)|||Unknown,English,text,microfilm|||microform|||microfilm reel,volumes : illustrations ; 28 cm,Periodicals|||periodical|||text,,Women,,,,,,,,,
524637,Women,,,,,Baltimore,"Women: A Journal of Liberation, inc.; distributed by Eastern News, New York, etc.]",,1969,1983,,serial,"3 no. a year (irregular) <, v. 5, no. 1->|||5 no. a year <, winter 1970->|||4 no. a year (irregular) <, v. 4, no. 3->|||Three times a year",English,text,print,8 v. ill. 28 cm.,periodical,,Women|||Periodicals,,,,,,0043-7433,73013942,,
545980,Women,,,,,Baltimore,"Women: A Journal of Liberation, inc.; distributed by Eastern News, New York, etc.]",,1969,9999,,serial,Annual,English,text,microfilm,,,,Women|||History|||Periodicals|||Women's rights,,,,,,,,,
548030,Women,,,,,Baltimore,"Women: A Journal of Liberation, inc.]",,1969,9999,,serial,Unknown,English,text,microfilm,v. ill. 28 cm.,periodical,,Women|||Periodicals|||Feminism,,,,,,0043-7433,,,
538527,Women,,,,,"Baltimore,md",,,,,,serial,Completely irregular,English,text,print,,,,Underground newspaper,,Maryland,,,,,,,
4532334,Women's independent press,,WIP,,,"Champaign, Ill",Women's Independent Press,,2003,9999,,serial,Monthly,English,text,print,v. : ill. ; 32 cm.,Newspapers|||Periodicals|||periodical,,Women|||Feminism|||Women's rights,,Illinois|||Urbana (Ill.)|||Champaign (Ill.),,,,,,,
9247457,Womens liberation,,,,,New York :,[publisher not identified],,uuuu,uuuu,,serial,Irregular|||Completely irregular,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes).,Newspapers|||newspaper|||text,,Feminism,,New York (State)|||New York,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=2YMS&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
9040515,Ann Arbor argus,Ann Arbor argus (1969),,,,"Ann Arbor, Mich","Ken Kelley, David Baker",1969-,1969,1971,,serial,Biweekly,English,text,electronic|||electronic resource|||remote|||unmediated|||volume,,Newspapers|||Student protest literature-Newspapers|||newspaper|||text,,Subculture|||Underground press publications|||Counter culture|||In popular culture,,"Ann Arbor|||Michigan|||Washtenaw County|||United States|||Ann Arbor (Mich.)|||Washtenaw County (Mich.)|||United States, Michigan, Washtenaw, Ann Arbor",,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BEIBCAC
520164,Berkeley barb,,,,,"Berkeley, Calif",International News Keyus],,1965,1980,,serial,"Biweekly, <,Apr. 10-23, 1980->|||Weekly, 1980-|||Biweekly, 1978-|||Weekly, 1965-1978|||Bimonthly",English,text,print,,periodical,,,,,,,,0005-9161,sn 78001858,,
8826051,Berkeley barb,,,,"Scherr, Max. (Editor)","Berkeley, CA :|||Berkeley, California :","Max Scherr,|||International News Keyus",1965-1980.,1965,1980,,serial,"Biweekly, Oct. 12, 1978-July 3, 1980|||Weekly, Aug. 13, 1965-Sept. 29, 1978|||Biweekly",English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Newspapers|||periodical|||text,,"Underground press publications|||Student movements|||Counterculture|||Political activists|||Politics and government|||University of California, Berkeley",,Berkeley|||California|||United States,,,,0005-9161,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BFBJFGD
520166,Berkeley tribe,,,,,"Berkeley, California",,,1969,1972,,serial,Weekly,English,text,print,,newspaper,,,,,,,,0005-9188,,,
8826053,Berkeley tribe,,,,,"[Berkeley, CA] :","[Red Mountain Tribe],",[1969-1972].,1969,1972,,serial,"Biweekly, Feb. 3, 1972-|||Weekly, July 10, 1969-Jan. 28, 1972|||Biweekly",English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Newspapers|||newspaper|||text,,"Underground press publications|||Student movements|||Vietnam War, 1961-1975|||Protest movements|||Counterculture|||Political activists|||Politics and government|||Vietnam War (1961-1975)",1961-1975,Berkeley|||California|||United States|||Vietnam,,Barb on strike,,0005-9188,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BFBJFGJ
541008,Bilalian news,,,,,Chicago,"Bilalian News, inc.",,1975,1981,,serial,Weekly,English,text,print,6 v. ill. 39 cm.,periodical,,Black Muslims|||Periodicals|||African American newspapers,,,,Muhammad speaks (OCoLC)1758821,World Muslim news 0744-0014 (OCoLC)7966890,0161-8644,sn 78004682,,
533127,"Black panther, The",,,,,"Oakland, Calif., etc.]","Black Panther Party, Ministry of Information.",,1967,1980,,serial,Weekly,English,text,print,v. ill. (part col.) 45 cm.,periodical,,,,United States,,,,0523-7238,74008013|||sn 78005677,,
6091580,"black panther, The",,,,,"Oakland, Calif","Black Panther Party, Ministry of Information.",,2008,,,serial,,English,text,electronic|||electronic resource|||remote,v. : ill. (some col.) ; 45 cm.,Newspapers,,African Americans|||Underground press publications|||Black Panther Party,,Alameda County (Calif.)|||California|||Oakland (Calif.),,,,,74008013|||sn 78005677,,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?BLTC;S17112
550016,"Black panther, The",,,,,"Oakland, Calif",[Black Panther Party],1967-,1967,1980,,serial,Unknown,English,text,microfilm|||microform,20 v. : ill. ; 45 cm.,Periodicals|||newspaper,,African Americans,,United States,,,,0523-7238,,,
521532,East village other,,,,,New York,,,1uuu,9999,,serial,Unknown,English,text,print,,newspaper,,,,,,,,0012-8562,,,
8935727,"East Village other, The",,Other,,,"New York, N.Y",Joint College Patarealism,1965-1972,1965,1972,,serial,"Biweekly, July 21/28, 1971-1972|||Monthly, Oct. 1965-Jan. 1966|||Semimonthly, Feb. 1, 1966-Jan. 1, 1968|||Weekly, Jan. 5, 1968-July 14, 1971|||Biweekly",English,text,electronic|||electronic resource|||remote|||unmediated|||volume,,Annotations (Provenance)-20th century|||Newspapers|||Periodicals-U.S.A.-1965-1972|||Protest literature|||Sources|||Underground newspapers-New York|||newspaper|||text,,Underground press publications|||Counter culture,,"New York (State)|||New York County (N.Y.)|||New York|||United States, New York, New York, New York|||New York (N.Y.)|||New York County",,,,0012-8562,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BFGHCGB
521915,Fifth estate,,,,,"Detroit, Mich",Fifth Estate Newspaper.,,19uu,9999,,serial,"Quarterly <, July 1981->|||Bimonthly <, Nov. 13, 1978->|||Quarterly",English,text,print,,newspaper,,,,,,,,0015-0800,sn 78001268,,
9248625,Fifth estate,,,,,"Detroit, Michigan :",Fifth Estate Newspaper,,1966,uuuu,,serial,"Quarterly, 1982-|||Irregular, Aug. 1975-1981|||Semimonthly, <May 1970>-July 1975|||Quarterly",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Socialism,,,,,,0015-0800,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6QHA&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
548826,Georgia straight: Vancouver's free press,,,,,Vancouver,Georgia Straight Publishing,1967-79,1967,1979,,serial,Weekly|||Unknown,English,text,microfilm|||microform,v. : ill. ; 29-58 cm.,newspaper,,Underground press publications,,Vancouver|||British Columbia,,,Vancouver free press,0016-8432,,,
9224935,Georgia straight,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://www.pressreader.com/canada/the-georgia-straight
549088,San Francisco express times,,,,,"San Francisco, Calif",Trystero Company,1968-1969,1968,1969,,serial,Unknown,English,text,microfilm|||microform,v. : ill.,newspaper,,Underground newspapers,,San Francisco|||California,,,Good times (OCoLC) 7445741,,,,
548838,Good times,,,,,San Francisco,Trystero Company,1969-,1969,9999,,serial,"Weekly, Apr. 1969-|||Unknown",English,text,microfilm|||microform,v. : ill.,newspaper,,Underground newspapers,,San Francisco|||California,,San Francisco express times (OCoLC)7559100,,,,,
8827582,Good times,"Good times (San Francisco, Calif.)",San Francisco Good Times,,,"San Francisco, Calif. :","Trystero Co.,",1969-1972.,1969,1972,,serial,"Semiweekly, July 14, 1972-Aug. 2, 1972|||Semiweekly",English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Newspapers|||newspaper|||text,,"Underground press publications|||Counterculture|||Civil rights|||Political activists|||Vietnam War, 1961-1975|||Protest movements|||Peace movements|||Politics and government|||Counter culture|||Vietnam War (1961-1975)",1961-1975|||1969-1974,San Francisco|||California|||United States|||Vietnam,,San Francisco express times 2470-3370 (DLC) 2016200990 (OCoLC)907959180,,0017-2197,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BGAIDAB
525332,"Great speckled bird, The",,Bird,,,"Atlanta, Ga",Atlanta Progressive Media Foundation [etc.],,1968,1985,,serial,"Biweekly (Sept.-Apr.), monthly (May-Aug.), May? 1984-|||Monthly, 1976|||Weekly, Mar. 1968-1975",English,text,print,9 v. ill. (part col.) 42 cm.,periodical,,,,,,,,0017-369X,75008347,,
8827620,Great speckled bird,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BHFBFGA
534632,Grok,,,,,"Pittsburgh, Pa",,,,,,serial,Completely irregular,English,text,print,,,,Underground newspaper,,,,,,,,,
531548,Joint issue,,,,,"East Lansing, Mich.?]",,,19uu,9999,,serial,Unknown,English,text,print,v. ill. 43x30 cm. fold. to 30x22 cm.,periodical,,American Periodicals (General),,,,,,,,,
8828096,Joint issue,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=CBHIJIB
528232,Liberated guardian,,,,,New York,Guardian Worker's Collective,1970-1973,1970,1973,,serial,Monthly,English,text,print,3 v. : ill. ; 43 cm.,periodical,,,,,,,New York City star (OCoLC)3333922,,,,
524579,Los Angeles free press,,,,,Los Angeles,Press West.,,1964,1978,,serial,Weekly,English,text,print,v. ill. 45 cm.,,,,,,,,,0024-6573,79008348|||sn 78001603,,
9026735,Los Angeles free press,"Los Angeles free press (Los Angeles, Calif. 1964)","Free press|||Faire free press May 23, 1964",,,Los Angeles :,"Los Angeles Free Press,",1964-1978.,1964,1978,,serial,Weekly,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Newspapers|||newspaper|||text,,"Underground press publications|||Counterculture|||Political activists|||Civil rights|||Vietnam War, 1961-1975|||Protest movements|||Politics and government|||Vietnam War (1961-1975)",1961-1975|||1969-1974,Los Angeles|||California|||United States|||Vietnam,,,,0024-6573,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BGJFHJH
526343,Muhammad speaks,,,,,"Chicago, Ill",[s.n.],1961-1975,1961,1975,,serial,"Weekly, 1968-|||Bimonthly, Oct./Nov. 1961|||Monthly, Dec. 1961-June 1962|||Semimonthly (irregular) July 1962-1967|||Weekly",English,text,print,15 v. : ill. ; 38 cm.,periodical,,Black Muslims|||Periodicals,,"United States, Illinois, Cook, Chicago",,,Bilalian news (OCoLC)2975269 (DLC)sn 78004682,0027-3031,sn 84037002,,
539875,Muhammad speaks,,,,,"Chicago, Ill",Muhammad's Mosque No. 2],,1961,1975,,serial,"Weekly, 1968-1975|||Monthly, Oct./Nov. 1961-1962.|||Biweekly, 1963-1967|||Unknown",English,text,microfilm|||microform|||microfilm reel,15 v. ill. 39 cm.,periodical,,Black Muslims|||Periodicals,,"United States, Illinois, Chicago",,,Bilalian news (OCoLC)3764114,0027-3031,,,
528232,Liberated guardian,,,,,New York,Guardian Worker's Collective,1970-1973,1970,1973,,serial,Monthly,English,text,print,3 v. : ill. ; 43 cm.,periodical,,,,,,,New York City star (OCoLC)3333922,,,,
9264246,New York city star,,City star,,,"New York, NY :","Hard Rain, Inc.,",1973-,1973,9999,,serial,Monthly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newspapers|||Underground newspapers-New York (State)-New York|||periodical|||text,,Underground press publications,,"New York (State)|||New York County (N.Y.)|||New York|||United States, New York, New York, New York|||New York (N.Y.)|||New York County",,Liberated guardian (DLC)sn 94053408 (OCoLC)1772605,,,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/9GAN/AHSI?sid=gale_marc&u=upitt_main
8829045,Nola express,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BGEAABC
536557,Outlaw,,,,,"St. Louis, Mo",,,,,,serial,Completely irregular,English,text,print,,,,Underground newspaper,,Missouri,,St. Louis outlaw.,,,,,
536868,Pittsburgh fair witness,,,,,"Pittsburgh, Pa",The Commune.,,1970,9999,,serial,Unknown,English,text,print,,periodical,,,,,,Grok,,,,,
524248,"Pittsburgh point, The",,Point,,,"Pittsburgh, Pa",Point Pub. Co.,1966-1970,1966,1970,,serial,Weekly,English,text,print,4 v. : ill. ; 43 cm.,newspaper,,,,"United States, Pennsylvania, Allegheny, Pittsburgh",,,,,sn 85054980,,
581501,"Pittsburgh point, The",,,,,"Pittsburgh, Pa",Point Publishing,196-,196u,9999,,serial,Weekly|||Annual,English,text,microfilm|||microform|||microfilm reel,v. : ill.,newspaper,,Underground newspapers,,"United States, Pennsylvania, Pittsburgh|||Pennsylvania|||Pittsburgh",,,,,,,
1509434,Pittsburgh point index,,,,,"Pittsburgh, Pa",Carnegie Library of Pittsburgh,1970,,,,serial,,,text,,,,,,,,,,,,,,
522243,Rag,,,,,"Austin, Texas",,,,,,serial,Completely irregular,English,text,print,,newspaper,,,,,,,,,,,
8829525,"Rag, The (GI PRESS)",,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=DBJDCCFJ
523885,Rainbow people,,,,,"Gresham, Oregon",Cherokee Examiner.,,,,,serial,Completely irregular,English,text,print,,periodical,,,,,,,,,,,
527054,Rat,,,,,New York,"R.A.T. Publications, Inc.",,19uu,19uu,,serial,Biweekly,English,text,print,v. ill. 41 cm.,periodical,,,,,,,Women's libeRATion (OCoLC)1763455,,,,
9263940,Rat,"Rat (New York, N.Y.)",,,,New York :,"R.A.T. Publications,",1970-1971.,1970,1971,,serial,Biweekly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (24 volumes) : illustrations.,newspaper|||text,,Feminism,,"United States, New York, New York, New York",,,,,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/4RBZ/AHSI?sid=gale_marc&u=upitt_main
9247677,RAT,,Women's libeRATion|||RAT,,,"New York, New York :",R.A.T. Publications,,1969,uuuu,,serial,Monthly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newspapers|||newspaper|||text,,Women's rights,,New York (N.Y.)|||New York County (N.Y.)|||New York|||United States,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6PLV&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
549088,San Francisco express times,,,,,"San Francisco, Calif",Trystero Company,1968-1969,1968,1969,,serial,Unknown,English,text,microfilm|||microform,v. : ill.,newspaper,,Underground newspapers,,San Francisco|||California,,,Good times (OCoLC) 7445741,,,,
8829840,San Francisco express times,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=CCGHEDJ
52727,"San Francisco oracle, facsimile edition: the psychedelic newspaper of the Haight-Ashbury, 1966-1968, The",,,,,"Berkeley, CA",Regent Press,1991,,,1st ed.,monographic,,English,text,print,"lvi, 385 p. : ill. (some col.) ; 37 cm.",bibliography,,American newspapers|||Facsimiles|||Popular culture|||Sources|||San Francisco oracle,,Haight-Ashbury (Calif.)|||San Francisco|||California,,,,,92114556 //r93,,
542774,St. Louis outlaw,,,,,"St. Louis, Mo",,,1970,9999,,serial,Unknown,English,text,microfilm,,periodical,,Underground periodicals,,"Missouris|||United States, Missouri, St. Louis|||St. Louis",,,Outlaw,,,,
523808,Viet report,,Viet-report,,,New York,"Viet-Report, Inc.",1965-1968],1965,1968,,serial,9 no. a year|||Monthly,English,text,print,3 v. : ill. ; 29 cm.,periodical,,American newspapers|||Periodicals,,"United States, New York, New York City",,,Leviathan (OCoLC)8118332,0506-9424,,,
542187,Viet report,,,,,"New York, N.Y","Viet-Report, Inc.",196 -,1965,1968,,serial,9 no.a year|||Unknown,English,text,microfilm|||microform,,newspaper,,Underground newspapers,,"New York (State)|||New York|||United States, New York, New York",,,Leviathan,0506-9424,,,
540651,"1984, Alternative news for Naptown",,,,,"Indianapolis, Ind",,,1973,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, Indiana, Indianapolis|||Indianapolis|||Indiana",,,,,,,
542087,Abertura cultural,,,,,Rio de Janeiro,,,1uuu,9999,,serial,Unknown,Portuguese,text,microfilm,,newspaper,,Underground newspapers,,"Brazil, Rio de Janeiro|||Brazil|||Rio de Janeiro",,,,,,,
542050,Access,,,,,"Washington, D.C",,,1975,9999,,serial,bi-weekly.|||Biweekly,English,text,microfilm|||Microform,,newspaper,,Underground newspapers,,"Washington (D.C.)|||United States, Washington, D.C",,,,,,,
542104,All together,,,,,Chicago,,,1976,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Illinois|||United States, Illinois, Chicago|||Chicago",,,,,,,
540367,"Alternative, The",,,,,"Long Beach, Calif",,,,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"Long Beach|||California|||United States, California, Long Beach",,,,,,,
542770,Alternative journalism review,,,,,New York,,,1976,1976,,serial,Bimonthly,English,text,microfilm,reels.,newspaper,,Underground newspapers,,"New York (State)|||United States, New York, New York (City)|||New York",,Alternative press revue,Alternative media OCoLC 4176538,,,,
543493,Alternative media,,,,,"New York, N.Y",Alternative Press Syndicate,,1976,9999,,serial,Bimonthly,English,text,microfilm,ill. 35 mm.,newspaper,,Underground newspapers,,"New York (State)|||United States, New York, New York (City)|||New York",,Alternative journalism review OCoLC 3824136,,,,,
540366,Alternative news service,,,,,"Auckland, New Zealand",,,1971,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground press publications,,"Auckland|||New Zealand, Auckland|||New Zealand",,,,,,,
542052,Alternative newspaper,,,,,"Santa Barbara, Calif",,,1976,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"California|||Santa Barbara|||United States, California, Santa Barbara",,,,,,,
542715,Alternative press digest,,,,,London,,,1974,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Great Britain, London|||England|||London",,,,,,,
542049,Alternative to alienation,,,,,Toronto,,,197u,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Toronto|||Canada, Toronto|||Ontario",,,,,,,
