id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,copyright_status,copyright_holder,copyright_note,record_id,issn,lccn,oclccn,depositor,url,collection_id
US-PPiU-ctc197401,"Pittsburgh Savoyards records, 1939-1975",,"Records of Pittsburgh Savoyards, 1939-1975",,,,,,1939,1975,,monographic,,English,mixed material,,3,Clippings (Information artifacts)|||Constitutions|||Correspondence|||Newsletters|||Photographs|||Press releases|||Scrapbooks|||Theater programs,"The Pittsburgh Savoyards records are incomplete and, for the most part, constitute memorabilia. Programs and photographs (1939-1974) are the most extensive for the 1940s and 1950s. Eight scrapbooks, containing chiefly newspaper clippings, some programs, issues of the company newsletter, and miscellany, cover between 1939-1951 and 1964-1980 in great detail; additional clippings cover between 1946-1962. A small amount of correspondence is chiefly personal. Other items of note include the organization's constitution (probable date of 1973), new releases, and five libretti. A few items from the Curtis Theatre Collection's Pittsburgh vertical files were integrated with the Savoyards Records.",Operetta|||Musical theater|||Theater|||Performing arts|||Choruses|||Theatrical companies|||Pittsburgh Savoyards.,,Pennsylvania|||Pittsburgh,,,,,,,1470941,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc197602,"Pilot Survey of Performing Arts Facilities in Pennsylvania records, 1970-1972",,"Records of Pilot Survey of Performing Arts Facilities in Pennsylvania, 1970-1972|||Pilot Survey of Performing Arts Facilities in Pennsylvania, 1970-1972",,,,,,1970,1972,,monographic,,English,mixed material,,0.25 (2,Questionnaires|||Surveys (Documents)|||Typescripts,"The survey report, which was a pilot project designed to provide necessary information for both trouping personnel (stage managers, electricians, booking agents, and route planners) and for architects and consultants concerned with theatre building, is split into two parts. The summary information, which is in the first folder of the first box, describes the methods and procedures involved in creating the survey. There are also recommendations on the future use and expansion of the survey. The second part of the report contains detailed information on each of the thirty-two venues that were surveyed. Each venue's survey is over twenty pages long and contains capacity numbers, stage dimensions, information on lighting and sound equipment, etc. These surveys make up the bulk of the materials in the collection.",Centers for the performing arts|||Theater|||Performing arts,,Pennsylvania,,,,,,,1469653,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc197801,"Pitt Players records, 1914-1961",,"Records of Pitt Players, 1914-1961",,,,,,1914,1961,,monographic,,English,mixed material,,1.0 (3,Clippings (Information artifacts)|||Photographs|||Theater programs,"The Pitt Players programs are arranged in chronological order. Starting with the 1940-1941 season, each season is housed in its' own individual folder. The photographs are arranged in chronological order. They contain stage production photos, rehearsal photos, and headshots of the actors and actresses of the Pitt Players. The newspaper clippings are arranged in chronological order by season. Clippings relating to the first thirty years of the Pitt Players are few, but starting with the 1947-1948 season, each season is housed in its own individual folder. Unfortunately, many of the clippings are not properly labeled with the title of the newspaper from which they were clipped. It is believed that the majority of clippings came from the Pitt News.","College and school drama, American|||College theater|||Performing arts|||Study and teaching|||Theater|||University of Pittsburgh. Pitt Players.|||University of Pittsburgh. Department of Speech and Theatre Arts.",,Pennsylvania|||Pittsburgh,,,,,,,1471653,,,,University of Pittsburgh,,collection.8|||collection.10
US-PPiU-ctc197901,"Peter Gregg papers, 1937-1995",,"Gregg papers, 1937-1995|||Papers of Peter Gregg, 1937-1995",,,,,,1937,1995,,monographic,,English,mixed material,,3.0,Correspondence|||Legal documents|||Personal papers|||Photographs|||Reviews (Document genre)|||Scrapbooks|||Scripts (Documents),"This collection contains the papers of actor and playwright Peter Gregg. It includes play scripts, correspondence, book reviews, photographs, and a scrapbook. Also included are a sampling of Mr. Gregg's business contracts and copyrights. The materials date from the 1930s through the 1990s.","Dramatists|||Actors and actresses|||Theater|||Performing arts|||Gregg, Peter|||Kaufman, George S. (George Simon) 1889-1961|||Carnegie Institute of Technology. Department of Drama.|||Playwrights",,United States,,,,,,,1470403,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc198001,"Cap and Gown Club records, 1908-1978",,"University of Pittsburgh Cap and Gown Club records, 1908-1978|||Records of University of Pittsburgh Cap and Gown Club, 1908-1978",,,,,,1908,1978,,monographic,,English,mixed material,,0.75 (2,Performing arts-Clippings (Information artifacts)|||Performing arts-Correspondence|||Performing arts-Handbills|||Performing arts-Minutes|||Performing arts-Music|||Performing arts-Photographs|||Performing arts-Programs (Documents)|||Performing arts-Souvenirs,"The records of the Cap and Gown Club consist primarily of production programs, leaf and/or souvenir, arranged chronologically, with related material such as clippings, photographs, etc., of which there is little, filed with the appropriate program. A few programs contain music. Programs from the 1911 and 1919 shows are missing. Additional material includes photocopies of various articles on the Cap and Gown Club from The Pitt Panther, miscellaneous correspondence and memorabilia, and the final club minutes of 1978.","College theater|||College and school drama, American|||Student activities|||Actors|||Actresses|||Kelly, Gene 1912-1996|||Toomey, Regis 1898-1991|||Cap and Gown Club (Pittsburgh, Pa.).|||University of Pittsburgh.",,Pittsburgh (Pa.)|||Pennsylvania|||Pittsburgh,,,,,,,1469659,,,,University of Pittsburgh,http://digital.library.pitt.edu/cgi-bin/f/findaid/findaid-idx?type=simple;c=ascead;view=text;subview=outline;didno=US-PPiU-ctc198001,collection.8|||collection.10
US-PPiU-ctc198101,"Records of the Pittsburgh Playhouse School of the Theater, 1934-1973",,"Pittsburgh Playhouse School of the Theater records, 1934-1973",,,,,,1934,1973,,monographic,,English,mixed material,,71.25 (2596 79 1 1,,"This collection consists of the records of the Pittsburgh Playhouse School of the Theater, including operational files, business records, correspondence, press clippings, photographs, negatives, scripts, programs, posters, scrapbooks, press releases, and brochures relating to the activities of the Pittsburgh Playhouse, including the School of the Theatre, Playhouse Jr., American Conservatory Theatre, Vanguard Theatre, Pittsburgh Ballet Theatre, American Dance Ensemble, Point Park College, and the restaurant and banquet facilities. Also included are scrapbooks documenting the activities of Irene Kaufmann Settlement, Children's Civic Theatre Society, Pittsburgh Civic Playhouse, Snatched From the Noose: A Melodrama (Fort Pitt Hotel, 1936), Pittsburgh Little Theatre, and Pittsburgh Summer Playhouse.",Theater|||Performing arts|||Pittsburgh Playhouse. School of the Theater.|||Playhouse Jr.|||American Conservatory Theater.|||Vanguard Theatre.|||Pittsburgh Ballet Theatre.|||American Dance Ensemble.|||Point Park College.,,Pennsylvania|||Pittsburgh,,,,,,,4142492,,,,University of Pittsburgh,http://digital.library.pitt.edu/cgi-bin/f/findaid/findaid-idx?type=simple;c=ascead;view=text;subview=outline;didno=US-PPiU-ctc198101,collection.10
US-PPiU-ctc198301,"Abe Laufe papers, 1937-1980",,"Laufe papers, 1937-1980|||Papers of Abe Laufe, 1937-1980",,,,,,1937,1980,,monographic,,English,mixed material,,3.0 (8,Manuscripts (Document genre)|||Memorabilia|||Notes|||Personal papers|||Photographs|||Publications|||Records (Documents)|||Scrapbooks,"The Abe Laufe Papers pertain chiefly to English Professor Laufe's long career as a popular lecturer and author on musical and American theater. These papers document his interest in American popular music, Hollywood music, and Broadway musicals as well as his scholarly contributions. Included are five scrapbooks, additional memorabilia, manuscripts and publications (8 titles), and miscellaneous notes compiled by Dr. Laufe for his lectures. Publications include his own copy of the History of the School of Special Services, U.S. Army 1945, and Easy Swing Time Novelties, 1945. Manuscripts include various drafts of two published works, Broadway's Greatest Musicals and The Wicked Stage, as well as four unpublished works.","College teachers|||Theater|||Performing arts|||Intellectual life|||Laufe, Abe",,United States|||Pennsylvania|||Pittsburgh,,,,,,,1468147,,,,University of Pittsburgh,,collection.5|||collection.10
US-PPiU-ctc198401,"Papers of Edith Warman Skinner, 1902-1981",,"Skinner papers, 1902-1981",,,,,,1902,1981,,monographic,,English,mixed material,,1 (2,Performing arts-Clippings|||Performing arts-Collections-United States|||Performing arts-Personal papers-United States|||Performing arts-Photographs|||Performing arts-Programs|||Professors-Personal papers-United States,"The Edith Warman Skinner Collection consists of a single series of subject files that are arranged alphabetically. The files contain newspaper clippings, papers, programs and photos that pertained to her speech instruction. In some cases preservation photocopies have been made for use by researchers. The information on the Carnegie Institute of Technology in folders 14-17 contain newspaper clippings, grant applications, photographs, and programs. Folder 14 contains an example of the kinds of tests that Skinner gave her students, with notes and corrections on the student's performance. Folder 18 contains similar items for CIT's Summer Drama School at Old Economy Village. The ""Live with Distinction"" manuscript in folder 55 is a summary of an interview with Skinner that a student completed for a journalism class. Folders 62-64 contain newspaper clippings, correspondence, and programs for several oratorical competitions. Newspaper clippings and correspondence relating to the Pittsburgh Playhouse are within folders 68-69. In box two, folders 12-15 contain newspaper clippings, a caricature, photographs, resumes, and itineraries pertaining to Edith Skinner.","Acting teachers|||Theater|||Performing arts|||Study and teaching|||Skinner, Edith Warman|||Lewis, Sinclair 1885-1951",,United States,,,,,,,1471177,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc198501,"G. Norman Reis papers, 1909-1946",University of Pittsburgh alumni review,"Papers of G. Norman Reis, 1909-1946|||Reis papers, 1909-1946",,,,,,1909,1946,,monographic,,English,mixed material,,3.5,Performing arts-Clippings|||Performing arts-Correspondence|||Performing arts-Financial records-Pennsylvania-Pittsburgh|||Performing arts-Motion pictures|||Performing arts-Music|||Performing arts-Personal papers-Pennsylvania-Pittsburgh|||Performing arts-Phonograph records|||Performing arts-Photographs|||Performing arts-Programs|||Performing arts-Scrapbooks|||Performing arts-Scripts|||Performing arts-Songs|||Performing arts-Souvenirs,"The personal papers of G. Norman Reis pertain predominantly to the University of Pittsburgh's Cap and Gown Club, including souvenir and leaf programs, scripts, music, news clippings, financial records, correspondence, films, photographs, scrapbooks, and phonograph records. These categories are not complete in any of the cases. Besides individual music scores, music can also be found in some souvenir programs. Items not associated with the Cap and Gown Club include Reis' script, Harmony Island, the Pittsburgh Athletic Association's 1917 drama club presentation, and unidentified scripts. There are also materials on other all-male musical comedy groups such as Mask and Wig (University of Pennsylvania) and Triangle Club (Princeton University) programs and/or sheet music, University of Pittsburgh fight songs, including a victory song with words by Reis, miscellaneous music, as well as several issues of the Pitt Alumni Review for which Reis served as chairman and member of the editorial board.","Bacteriologists|||College theater|||College and school drama, American|||Student activities|||Theater|||Reis, G. Norman 1893-1958|||University of Pittsburgh. Cap and Gown Club.|||Mask and Wig Club.|||Princeton University. Triangle Club.",,United States|||Pennsylvania|||Pittsburgh,,,,,,,1470176,,,,University of Pittsburgh,,collection.8|||collection.2|||collection.10
US-PPiU-ctc198601,"Lovelace Marionette Theatre Company records, 1952-1984",,"Records of Lovelace Marionette Theatre Company, 1952-1984",,,,,,1952,1984,,monographic,,English,mixed material,,14.0 (21,Audiotapes|||Clippings (Information artifacts)|||Diaries|||Photographs|||Scripts (Documents)|||Video recordings|||Videotapes,"Lovelace Marionette Theatre Company records include the office files, correspondence, minutes, account books, etc. for the operation and organization of the career of Margo Lovelace Visser and newspaper clippings, magazine articles, etc. relating to the productions of the Lovelace Marionette Theatre Company and its general activities. Also included are press releases used by the company. The collection also contains the daily diaries and appointment books kept by Margo Lovelace Visser, as well as adaptations of classic, folk, and contemporary plays and the Lovelace Company's original works. Non-print media included are photographs, negatives, slides and artwork, as well as audio and video recordings, most of which are on obsolete formats.","Puppet theater|||Puppet theater companies|||Theater|||Marionettes|||Puppets|||Rod puppets|||Bunraku puppets|||Lovelace, Margo|||Obrazt︠s︡ov, S. V. (Sergeĭ Vladimirovich) 1901-1992|||Lovelace Marionette Theatre Company.|||Iron Clad Agreement (Theatrical company).|||Pittsburgh Children's Museum.|||Pennsylvania Council on the Arts.|||Three Rivers Arts Festival (Pittsburgh, Pa.).",,Pennsylvania|||Pittsburgh,,,,,,,1470903,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc198701,"99¢ Floating Theatre Festival records, 1971-1981",,"99 cent Floating Theatre Festival records, 1971-1981|||Records of 99¢ Floating Theatre Festival, 1971-1981",,,,,,1971,1981,,monographic,,English,mixed material,,5.0 (11,Clippings (Information artifacts)|||Correspondence|||Financial records|||Photographs|||Scrapbooks|||Theater programs,"The 99¢ Floating Theatre Festival Records are arranged into three series. All the materials are paper-based and include correspondence, memos, grant applications, budget reports, photographs, etc. The Season Operation Files series is divided into several subseries for each season starting with 1973/1974 through 1981/1982. There is also one oversized scrapbook that contains newspaper clippings, small posters, programs, etc.","Theater|||Performing arts|||Performance art|||Puppet theater|||Puppet theater companies|||Mime|||Experimental theater|||Carroll, Pat 1927-|||Chew, Martha|||Chong, Ping|||Feit, Ken 1940-1981|||Fratti, Mario 1927-|||Grotowski, Jerzy 1933-1999|||Ludlam, Charles|||Mayer, Jerry|||99¢ Floating Theatre Festival.|||University of Pittsburgh. Department of Theatre Arts.|||Bread and Puppet Theater.|||Illusion Theater Company.|||Organic Theatre Company.|||Performance Group.|||Red Clay Ramblers.|||Ridiculous Theatrical Company.|||San Francisco Mime Troupe.|||Theatre Rhinoceros (San Francisco, Calif.).|||Three Rivers Shakespeare Festival (Pittsburgh, Pa.).",,Pennsylvania|||Pittsburgh,,,,,,,1470375,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc198902,"Papers of Harvey J. Burgess, 1903-1934",,"Burgess papers, 1903-1934",,,,,,1903,1934,,monographic,,English,mixed material,,4 (7,,"Materials in the Burgess Collection are chiefly drawn from Harvey J. Burgess's years as a vaudeville juggler, 1903-1913. This entails juggling paraphenalia such as tin plates, pins, and Burgess's makeup box, with some makeup still intact. Also included is a sampling of H.J.B.'s business contracts, correspondence with various vaudeville booking agents and theatrical suppliers, programs (many from little-known area theatres), letterheads and other promotional materials, and two scrapbooks, one containing many signed photos of vaudeville performers. Burgess's post-vaudeville years are represented by several photos, and a file of lengthy correspondence that H.J.B. maintained with U.S. Congressman Clyde Kelly concerning local postal issues.","Jugglers|||Vaudeville|||Burgess, Harvey J 1886-1960|||Kelly, Claude",,Wilkinsburg|||Pennsylvania|||Pittsburgh Region|||Pittsburgh,,,,,,,4612844,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc199001,"Iron Clad Agreement records, 1975-1985",,"Records of Iron Clad Agreement, 1975-1985",,,,,,1975,1985,,monographic,,English,mixed material,,18.5 (27,Audio tapes|||Audiocassettes|||Correspondence|||Drama|||Photographs|||Scripts (Documents)|||Slides (Photographs)|||Video recordings|||Videocassettes|||Videotapes,"The Iron Clad Agreement records are arranged into seven series. The first is a group of operational files that are arranged alphabetically. Series II is a complete set of play scripts for all the productions that the Iron Clad Agreement performed. All of these play scripts are cross-referenced in the Curtis Play script and Acting Edition collection binder. These first two series make up the bulk of the collection. The remaining series are each relatively small in comparison. Series III-VII are photographs, slides, audio recordings, video recordings, and oversized/ephemera, respectively.","Theater|||Performing arts|||Industrial revolution|||Inventors|||Edison, Thomas A. (Thomas Alva) 1847-1931|||Swoyer, Julia|||Hutton, Wilson|||Iron Clad Agreement (Theatrical company).|||Lincoln Center for the Performing Arts.|||Royal Society of Arts (Great Britain).|||Edinburgh International Festival.|||Creativity with Bill Moyers|||Mr. Edison and his amazing invention factories (Motion picture)",,United States|||Pennsylvania|||Pittsburgh,,,,,,,1471193,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc199101,"Records of City Theatre Company, 1973-1994",,"City Theatre Company records, 1973-1994",,,,,,1973,1994,,monographic,,English,mixed material,,10.5 25,Performing arts-Correspondence|||Performing arts-Files|||Performing arts-Memorandums|||Performing arts-Minutes|||Performing arts-Negatives|||Performing arts-Photographs|||Performing arts-Programs|||Performing arts-Records-Pennsylvania-Pittsburgh|||Performing arts-Reports|||Performing arts-Scripts,"The City Theatre Company Records are organized into 6 separate series: I. Operational Files, 1975-1988; II. Playscripts; III. Programs; IV. Photographs; V. Oversize Materials; VI. Additional Operational Files, 1991-1994.","Theater|||Performing arts|||College theater|||College and school drama, American|||Intellectual life|||City Theatre Company (Pittsburgh, Pa.)|||City Players (Pittsburgh, Pa.)",,"South Side (Pittsburgh, Pa.)|||Pennsylvania|||North Side (Pittsburgh, Pa.)|||Pittsburgh (Pa.)|||Pittsburgh",,,,,,,1468125,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc199202,"Records of the ""Steel/City"" production, 1974-1977",,"""Steel/City"" production records, 1974-1977",,,,,,1974,1977,,monographic,,English,mixed material,,3 6,Drama,"This collection consists of materials directly related to the production of the play, including grant applications, budget reports and scripts, as well as material generated during the process of research for the play. This includes photos, information on Pittsburgh and it's steel industry history, oral interviews, etc. These materials are grouped by topic. Also included are recordings of the post-play discussion sessions and town meetings.","Steel industry and trade|||History|||Performing arts|||Favorini, Attilio 1943-|||Elvgren, Gillette|||University of Pittsburgh. Department of Theatre Arts.|||Steel/City : a docudrama in three acts",,Pittsburgh (Pa.)|||Pennsylvania|||Pittsburgh region|||Pittsburgh,,,,,,,4640497,,,,University of Pittsburgh,,collection.5|||collection.10
US-PPiU-ctc199203,"Papers of the Four Evans, 1908-1989",,"Four Evans papers, 1908-1989|||Evans family papers, 1908-1989",,,,,,1908,1989,,monographic,,English,mixed material,,1,Songs and music,"This collection contains clippings, papers, programs, scrapbooks and photos relating to the dance career of the Pittsburgh-based Evans family. There are memorabilia relating to the Evans' variety act and dance revue, ""The Four Evans- Two Generations of Dance,"" which headlined USO tours and professional circuits from 1942-1960; press and marquee photographs and production stills; theatrical programs; press materials, including clippings from Pittsburgh, National, and International newspapers; in addition to correspondence regarding their military and public service. One notable item is a Certificate of Commendation from the Commonwealth of Pennsylvania for the Evans family's contribution to USO efforts, as well as various programs and souvenirs of their travels. Many of the items in this collection have hand-written notations by Maryetta Evans.","Entertainers|||Vaudeville|||World War, 1939-1945|||Theater and the war|||Evans, Evan E 1889-1962|||Evans, Helen 1894-1974|||Evans, Maryetta|||Evans, Lester 1919-1989|||Four Evans (Theatrical group)|||United Service Organizations (U.S.)",,United States|||Pennsylvania|||Pittsburgh,,,,,,,4637673,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc199204,"Papers of Burton White, 1983-1994",,"White papers, 1983-1994",,,,,,1983,1994,,monographic,,English,mixed material,,4.5 9,Performing arts-Personal papers-Pennsylvania-Pittsburgh|||Theater-Books|||Theater-Notes|||Theater-Personal papers-Pennsylvania-Pittsburgh,"These papers reflect the early professional career of Burton White and consist of production books and notes mostly from productions in the Pittsburgh, Pa. area.|||These papers reflect the early professional career of Burton White and consist of production books and notes mostly from productions in the Pittsburgh area. This collection is divided into two series: I. Career; II. Productions. All production books are cross referenced in the Curtis Collection's Acting Edition and Script Inventory.","Stage managers|||Theater|||Performing arts|||Stage management|||Production and direction|||White, Burton",,Pennsylvania|||Pittsburgh,,,,,,,1471172,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc199401,"Collection of Joseph Riggs relating to Kaspar Monahan, 1927-1988",,"Joseph Riggs collection relating to Kaspar Monahan, 1927-1988|||Riggs collection relating to Kaspar Monahan, 1927-1988",,,,,,1927,1988,,monographic,,English,mixed material,,8 (21,Audiocassettes|||Audiotapes|||Microfiche,"The collection contains copies of over 10,000 columns written by Monahan for the Rocky Mountain News, Denver Post, and Pittsburgh Press between 1929 and 1968. Columns that appeared in the Pittsburgh Press between March 1954 and January 1968 are also available on microfiche. The Riggs Materials include correspondence, press releases, and notes pertaining to Dr. Riggs's efforts to collect the columns, index them, and make them publicly available. The Oral History series includes audio reels and cassette tapes of the interviews, individual transcripts, and a manuscript compiling the various interviews into one narrative.","Interviews|||Theater|||Reviews|||Performing arts|||Actors|||Actresses|||Motion pictures|||Dramatic criticism|||Monahan, Kaspar|||Riggs, Joseph H|||Slippery Rock State College.|||Newspaper employees|||Theater critics|||Pittsburgh Press|||Rocky Mountain News|||Denver Post",,United States|||Pennsylvania|||Denver|||Pittsburgh|||Colorado,,,,,,,5775586,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc199402,"Pittsburgh International Lesbian and Gay Film Festival records, 1980-1994",,"Records of Pittsburgh International Lesbian and Gay Film Festival, 1980-1994",,,,,,1980,1994,,monographic,,English,mixed material,,1.5 (3,Clippings (Information artifacts)|||Grant proposals|||Grants|||Performing arts-Programs (Documents)|||Programs (Documents),"The Pittsburgh International Lesbian and Gay Film Festival (PILGFS) collection is composed of bill receipts, programming information, public and private grant applications, and information on other gay and lesbian film festivals in the United States between 1988 and 1994. The first series comprises budgeting plans, Festival bylaws, billing invoices and receipts, programming information, public and private grant applications, as well as correspondence between Richard Cummings and festival personnel. Included in this series are detailed reports on the Festival's application and receipt of funding and grants from the Chicago Resource Center, the Lambda Foundation, and the Pennsylvania Council on the Arts. Media coverage on the Festival is included from several local Pittsburgh publications. Finally, the Film Festival's grant application and lawsuit with the National Alliance for Media Arts and Culture in 1993 are present. The second series includes programs and press coverage on other gay and lesbian film festivals collected by the PILGFS. These materials often make mention of the Film Festival in Pittsburgh, as well as served as tools for planning in the early years of the PILGFS.",Film festivals|||Gay and lesbian film festivals|||Gay culture|||Gays|||Social life and customs|||Gays in motion pictures|||Homosexuality in motion pictures|||Lesbians|||Lesbians in motion pictures|||Popular culture|||Gay & Lesbian Community Center of Pittsburgh (Pa.)|||Pittsburgh International Lesbian and Gay Film Festival.,,United States|||Pennsylvania|||Pittsburgh,,,,,,,6143043,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc199502,"Collection of South Park Conservatory Theatre, 1974-1995",,"South Park Conservatory Theatre collection, 1974-1995",,,,,,1974,1995,,monographic,,English,mixed material,,6.0 (9,Performing arts-Correspondence|||Performing arts-Photographs|||Performing arts-Programs|||Performing arts-Scripts,"This collection documents the South Park Conservatory Theatre from its beginnings as the South Park Summer Theatre in 1974 until it became the South Park Theatre in 1995. The production history for both its main stage and children's theatre shows is captured through legal agreements, correspondence, publicity materials, newspaper clippings, programs, and production photographs. This collection consists of three series. The scrapbooks in the first series are arranged chronologically from 1974 to 1995. Each year includes materials such as season brochures, correspondence, agreements, programs and photographs relating to main stage shows. The second series, children's theatre materials, contains programs, flyers, photographs, news clippings and play scripts from children's theatre productions between 1977 and 1994. A group of ground plans, front elevations, and artistic renderings executed by Alfred Kirschman in 1977 and between 1984 and 1992 for main stage productions comprise the third series.","Theater|||Performing arts|||Production and direction|||Children's theater|||Custer, Shirley|||Kirschman, Alfred|||South Park Conservatory Theatre.|||South Park Summer Theatre.|||South Park Theatre.|||Actors and actresses",,South Park (Pa.: Township)|||Pennsylvania|||South Park (Township),,,,,,,5819134,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc200001,"Records of the Fulton Theater, Pittsburgh, Pa., 1934-1963",,"Fulton Theater records, 1934-1963",,,,,,1934,1963,,monographic,,English,mixed material,,19.5 43,Movie theaters-Correspondence|||Movie theaters-Financial records-Pennsylvania-Pittsburgh|||Movie theaters-Receipts|||Movie theaters-Records-Pennsylvania-Pittsburgh|||Movie theaters-Reports,"This collection contains the records of the Fulton Theater during the years of 1934-1963, but the majority of the collection dates from 1938-1951. The records that make up the majority of the collection are the correspondence and motion picture files. Films that are particularly well documented are Disney's Fantasia, Lawrence of Arabia, and The Best Years of Our Lives. Separate statistics for tickets sold and labor hours were kept during the film runs at the Fulton. Fastasia payroll information is located with the other payroll information in series 2 and the films ticket sales statistics are kept with the box office statements in series 3.","Theaters|||Amusements|||Social life and customs|||Fulton Theater (Pittsburgh, Pa.)",,Pittsburgh (Pa.)|||Pennsylvania|||Pittsburgh,,,,,,,4305709,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc200002,"Pittsburgh Cultural Trust records, 1975-2000",,"Records of Pittsburgh Cultural Trust, 1975-2000",,,,,,1975,2000,,monographic,,English,mixed material,,112.0 (338 96,,"The Records of the Pittsburgh Cultural Trust contain the organization's office files from the beginning, in 1984, to the opening of the O'Reilly Theater in 1999. The majority of the materials concern the restoration of the Stanley Theatre and its reopening as the Benedum Center for the Performing Arts, the settlement files for every show that performed at the Benedum Center from its opening in 1987 to 1998, the development of the Cultural District between Penn and Liberty Avenues, the planning and construction of the O'Reilly Theater, and finally the advertising and marketing information for a majority of the productions presented by the Cultural Trust as well as the marketing of the Trust itself. The vast majority of the collection are office files, but there are a few other types of materials, including photographs, slides, ledgers, newspaper clippings, and architectural designs.","Art and popular culture|||Art and society|||Arts|||Economic aspects|||Societies, etc|||City planning|||Community foundations|||Performing arts|||Social life and customs|||Pittsburgh Cultural Trust.|||Benedum Center for the Performing Arts (Pittsburgh, Pa.).",,"Cultural District (Pittsburgh, Pa.)|||Pittsburgh (Pa.)|||Pennsylvania|||Pittsburgh",,,,,,,6567984,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc200101,"Papers of the McHugh family, 1909-1930",,"McHugh family papers, 1909-1930",,,,,,1909,1930,,monographic,,English,mixed material,,1,,"Materials in the McHugh family collection chiefly represent Frank McHugh's early theater days. Frank McHugh's scrapbook contains clippings and programs from McHugh family performances 1917-1920. Also in the collection are twenty-two daily planners that belonged to Frank. These date from 1909-1930, and trace Frank's travels around the country with his family and with touring companies. The earliest of these are particularly interesting because Frank would have been only eleven years old at the time of their writing. Of chief interest in the collection are Ed McHugh's memoirs, which were discovered then researched, edited and published by family members. The memoirs, given the title Human Hearts: Episodes in the Life of the McHugh Theatrical Family, chronicle the entire family history and give a remarkable insight into theater life.","Entertainers|||Theater|||Performing arts|||Theatrical companies|||Vaudeville|||McHugh family|||McHugh, Edward A|||Jr McHugh, Edward A|||McHugh, Frank 1899-1981",,Pennsylvania|||Pittsburgh,,,,,,,4640476,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc200201,"Don Brockett papers, 1930-1995",,"Brockett papers, 1930-1995|||Papers of Don Brockett, 1930-1995",,,,,,1930,1995,,monographic,,English,mixed material,,15.0 (35,,"Materials in the Brockett Papers date from his early years as an entertainer from the 1950s through 1995. This collection includes all types of materials, such as photographs, posters, scripts, scores, orchestrations, press clippings, programs, and other promotional materials. Also included are a sampling of Brockett's business contracts, copyrights, and correspondence with various friends, other entertainers, and booking agents.","Actors|||Burlesque (Theater)|||Entertainers|||Musical theater|||Musical theater producers and directors|||Performing arts|||Theater|||Theatrical companies|||Theatrical producers and directors|||Brockett, Don|||Mister Rogers' neighborhood (Television program)",,Pittsburgh (Pa.)|||Pennsylvania|||Pittsburgh,,,,,,,6171144,,,,University of Pittsburgh,,collection.10
US-PPiU-ctc200302,"Adrienne Keriotis Dickos papers, 1986-1989",,"Dickos papers, 1986-1989|||Papers of Adrienne Keriotis Dickos, 1986-1989",,,,,,1986,1989,,monographic,,English,mixed material,,6.0 (4,,"The collection consists of eight stage manager's books with handwritten notations: three from the Three Rivers Shakespeare Festival (TRSF), two from the Pittsburgh Playhouse, two from the Studio Theatre, and one from the South Hills Theatre. The contents of each binder have been filed in their original order.","Stage history|||College theater|||Performing arts|||Stage management|||Theater|||Dickos, Adrienne|||Shakespeare, William, 1564-1616|||Pittsburgh Playhouse. School of the Theater.|||Point Park College.|||University of Pittsburgh. Department of Theatre Arts.|||South Hills Theatre Group (Pittsburgh, Pa.).|||Three Rivers Shakespeare Festival (Pittsburgh, Pa.).",,Pennsylvania|||Pittsburgh,,,,,,,6567987,,,,University of Pittsburgh,,collection.10
